RANK,PLAYER,fantasy_player_id,Y/R,LG,20+,TD,FPTS,FPTS/G
1,Travis Kelce (KC),00-0030506,12.4,46,19,11,223,22.3
2,Mark Andrews (BAL),00-0034753,11.5,25,4,5,133.8,14.9
3,T.J. Hockenson (MIN),00-0035229,11.6,81,11,3,121.4,12.1
4,Zach Ertz (ARI),00-0030061,8.6,32,3,4,115.6,11.6
5,Dallas Goedert (PHI),00-0034351,12.7,31,9,3,113.4,12.6
6,Pat Freiermuth (PIT),00-0036894,11,31,8,1,98.2,10.9
7,George Kittle (SF),00-0033288,12.8,39,10,4,97.4,12.2
8,Juwan Johnson (NO),00-0036040,11.3,41,7,5,95.9,8.7
9,Tyler Higbee (LAR),00-0033110,9,26,3,0,91,9.1
10,Taysom Hill (NO),00-0033357,6,11,0,1,90.6,9.1
11,Cole Kmet (CHI),00-0036290,11.9,50,8,5,87.8,8
12,Tyler Conklin (NYJ),00-0034270,9.5,27,3,3,86.2,8.6
13,Hayden Hurst (CIN),00-0034830,8.3,21,3,2,85.1,8.5
14,David Njoku (CLE),00-0033885,12.1,38,9,1,82.9,10.4
15,Gerald Everett (LAC),00-0033895,10.7,26,3,2,82.4,9.2
16,Robert Tonyan (GB),00-0033757,8.3,23,2,1,81.2,7.4
17,Evan Engram (JAC),00-0033881,9.8,28,4,1,79.2,7.9
18,Kyle Pitts (ATL),00-0036970,12.7,33,6,2,75.6,7.6
19,Mike Gesicki (MIA),00-0034829,11.2,30,4,4,74.9,7.5
20,Dawson Knox (BUF),00-0035689,10,23,4,2,74,8.2
21,Will Dissly (SEA),00-0034159,9.9,38,2,3,69.8,7
22,Noah Fant (SEA),00-0035644,10.2,51,6,1,66.6,6.7
23,Dalton Schultz (DAL),00-0034383,9.6,30,2,1,60.9,7.6
24,Cade Otton (TB),00-0038129,10.8,35,4,1,60.1,6.7
